¿Cuántos niveles debo aprobar en la academia Pearson?;Se deben aprobar 4 niveles en la academia Pearson
¿Cuáles son los datos de contacto de la academia Pearson?;El número de contacto de la academia Pearson es 0962791194
¿Cuánto dura cada nivel de Pearson?;Cada nivel dura aproximadamente 4 meses.
¿Cuál es el método de enseñanza de academia Pearson?;La metodología de enseñanza en la academia Pearson es online.
¿Cuánto cuesta cada nivel en Pearson?;El costo de cada nivel es de $180.00
¿Se debe rendir prueba al finalizar los 4 niveles de inglés?;Si, para cumplir con el requisito de graduación, tiene dos opciones el primer examen de idoneidad o rendir nuestro examen de examen de certificación internacional.
¿Cuándo serán las inscripciones?;Las inscripciones  se realizan de acuerdo a los calendarios de la universidad.
¿Qué necesito para acceder al EVA?;"Para acceder al EVA, se necesitan las credenciales académicas con las que se ingresa a todos los servicios digitales de la universidad, para lo cual se realiza el siguiente procedimiento:
1.	Digitar la dirección utpl.instructure.com/eva
2.	Ingresar las credenciales institucionales (usuario y contraseña)
3.	Observar en el tablero el listado de materias del periodo en curso"
¿Puedo acceder al EVA desde mi dispositivo móvil?;"Usted puede acceder al EVA desde un dispositivo móvil realizando los siguientes pasos:
1.	Ingresar a la tienda de aplicaciones de su dispositivo y descargar las aplicaciones móviles Canvas Student si es estudiante o Canvas Teacher si es docente.
2.	Encontrar la universidad por su nombre: Universidad Técnica Particular de Loja
3.	Ingresar credenciales de acceso y seleccionar la opción “Iniciar sesión”
4.	Cargar sus asignaturas y seleccionarlas como “favoritas”"
¿La academia de inglés Cambridge entrega certificado al finalizar el curso?;La academia no emite ningún tipo de certificado al finalizar los 4 niveles, funcionamos como un centro preparador o capacitador, más no como un centro certificador.
¿Cuántos niveles de inglés debe aprobar un estudiante de la malla de créditos ECTS en la academia Cambridge?;El estudiante debe aprobar y cumplir en su malla académica con 4 niveles de inglés, el proceso de evaluación, notificación de notas y carga de resultados al expediente del estudiante, es responsabilidad de la universidad.
"¿Cuántos niveles de inglés debe aprobar el estudiante de la malla de rediseño en la academia Cambridge?
";El curso se compone de 4 niveles de inglés, al finalizarlos el estudiante debe inscribirse con la universidad para que pueda rendir y aprobar el examen de Idoneidad, requisito indispensable para su graduación.
¿La academia de inglés Cambridge oferta los cursos para posgrados o tecnologías?;Al momento solamente ofertamos los cursos de preparación para estudiantes de grado en ambas modalidades de estudio: MP y MAD y para estudiantes de tecnologías. No ofertamos cursos para estudiantes de posgrados.
¿La academia Cambridge oferta cursos intensivos o en vacaciones?;"El curso por medio de la academia solamente se oferta en el período regular de matrículas: Abril-Agosto y Octubre-Febrero; no disponemos de una oferta para cursos intensivos o en vacaciones."
¿Puede un estudiante matricularse en un mismo período académico en dos o más niveles de inglés?;Al estudiante se le permite solamente matricularse en un nivel de inglés por período académico, no es posible que tome dos o más niveles en un mismo período académico por medio de la academia.
¿La academia Cambridge oferta un examen de ubicación?;Como academia disponemos de un examen de ubicación exclusivamente para estudiantes de mallas rediseñadas por un costo de $15. Para estudiantes de la malla de créditos ECTS no ofertamos este examen y deberán aprobar los niveles uno a uno hasta completar los 4 niveles que se establece la universidad como cumplimiento dentro de su malla académica.
